MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
ÖSTERREICH / GESAMT,Österreich,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1,40542.94
GANZE WOCHE,Ganze Woche,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,2,7956.0
Friends Magazin,Friends Magazin,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,3,9290.0
Antenne Steiermark,Antenne Steiermark,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,4,5081.25
ATV,ATV,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,5,24546.49
HEUTE / WIEN+NÖ+OÖ+ NORD BGLD,Heute,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,6,65272.9
INFOSCREEN AUSTRIA / GESELLSCHAFT MBH,Infoscreen,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,7,35992.24
KABEL 1 ÖSTERRE,Kabel 1,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,8,10567.86
KRONE BUNT,Krone,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,9,119012.32
KRONE GESAMTAUSGABE,Krone,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,10,10609.0
Kronehit,Krone,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,11,13714.45
KURIER / GESAMT,Kurier,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,12,24573.51
Kurier Freizeit,Kurier,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,13,7737.99
LEBENSART,Lebensart,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,14,5301.45
LZ Direkt,LZ Direkt,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,15,6109.54
Mitteilungsblatt der Burgenländischen LWK,Mitteilungsblatt der Burgenländischen LWK,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,16,9189.55
News Kulinarium,News,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,17,34450.0
Ö3,ORF,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,18,91711.92
ORF 2,ORF,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,19,225129.46
Gesünder Leben,Gesünder Leben,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,20,8300.25
PRESSE,Die Presse,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,21,27446.74
PULS 4,Puls 4,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,22,19979.18
RTL ÖSTERREICH,RTL,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,23,49099.54
SAT 1 ÖSTERREIC,SAT 1,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,24,40878.57
SERVUS,Servus,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,25,26760.36
Sportmagazin,Sportmagazin,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,26,8630.0
STANDARD / RONDO,Der Standard,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,27,10610.0
SUPER RTL ÖSTER,Super RTL,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,28,10767.51
tele ZeitschriftenverlagsgesmbH&CoKG,tele,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,29,24000.0
Terra Mater,Terra Mater,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,30,5801.25
VOX ÖSTERREICH,VOX,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,31,41232.9
Weekend Magazin,Weekend Magazin,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,32,40011.45
Bezirksrundschau OÖ,Bezirksrundschau OÖ,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,33,5039.26
Blick ins Land,Blick ins Land,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,34,13650.0
Cash,Cash,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,35,15491.08
Der Standard VerlagsGmbH,Der Standard,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,36,29000.0
falstaff,Falstaff,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,37,8092.0
Falstaff Deutschland,Falstaff,Agrarmarkt Austria Marketing GesmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,38,10404.0
Bohmann Druck- und Verlag GesmbH,Bohmann Druck- und Verlag GesmbH,AIT Austrian Institute of Technology GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,39,25877.0
Die Presse,Die Presse,AIT Austrian Institute of Technology GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,40,15000.0
Der Standard,Der Standard,AIT Austrian Institute of Technology GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,41,7875.0
Bohmann Druck- und Verlag GesmbH,Bohmann Druck- und Verlag GesmbH,AIT Austrian Institute of Technology GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,42,7690.0
NEWS,News,AIT Austrian Institute of Technology GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,43,10500.0
Kurier,Kurier,Albertina,0,20123,Werbeaufträge und Medienkooperationen,2012,2,44,11550.0
Die Presse,Die Presse,Albertina,0,20123,Werbeaufträge und Medienkooperationen,2012,2,45,11184.09
Standard,Der Standard,Albertina,0,20123,Werbeaufträge und Medienkooperationen,2012,2,46,5250.0
